publicacion_id;titulo;linea;visitas_30d;stock;costo_unitario;capital_parado;precio_venta;link
MCO2589272344;"Zapato Baleta Para Niña Primera Comunión";ceremonia;5;16;23000;368000;109900;https://articulo.mercadolibre.com.co/MCO-2589272344-zapato-baleta-para-nina-primera-comunion-_JM
MCO611710701;"Corona Floral Primera Comunión";ceremonia;5;23;9500;218500;42800;https://articulo.mercadolibre.com.co/MCO-611710701-corona-floral-primera-comunion-_JM
MCO1607472181;"Corbatin Niño Elegante Seda";ceremonia;5;50;3192;159600;23800;https://articulo.mercadolibre.com.co/MCO-1607472181-corbatin-nino-elegante-seda-_JM
MCO1315103449;"Accesorios Para El Cabello Tocado Bautizo Primera Comunión Blanco";ceremonia;5;6;11171;67026;56900;https://articulo.mercadolibre.com.co/MCO-1315103449-accesorios-para-el-cabello-tocado-bautizo-primera-comunion-blanco-_JM
MCO1023461984;"Guantes Satinados Para Bautizo ";ceremonia;5;4;7113;28452;36800;https://articulo.mercadolibre.com.co/MCO-1023461984-guantes-satinados-para-bautizo-_JM
MCO1929265107;"Collar Pulsera Tennis Verde Esmeralda Mujer Elegante Verde";accesorios;5;3;8500;25500;55000;https://articulo.mercadolibre.com.co/MCO-1929265107-collar-pulsera-tennis-verde-esmeralda-mujer-elegante-verde-_JM
MCO1292320061;"Aretes Elegantes Para Fiesta Novia Quinceañera Primera Comun Dorado";ceremonia;5;3;6828;20484;37900;https://articulo.mercadolibre.com.co/MCO-1292320061-aretes-elegantes-para-fiesta-novia-quinceanera-primera-comun-dorado-_JM
MCO2849135822;"Filtro Colador Infusor Té Aromática Hierbas Acero Inoxidable Plateado";accesorios;5;3;6824;20472;31900;https://articulo.mercadolibre.com.co/MCO-2849135822-filtro-colador-infusor-te-aromatica-hierbas-acero-inoxidable-plateado-_JM
MCO3479873332;"Collar Dije Simbolo Berserk Marca Sacrificio Guts Anime Rojo";accesorios;5;3;0;0;59900;https://articulo.mercadolibre.com.co/MCO-3479873332-collar-dije-simbolo-berserk-marca-sacrificio-guts-anime-rojo-_JM
MCO1841024007;"Corona Tocado Para Novia Reina Con Brillantes Verde";ceremonia;5;1;0;0;113900;https://articulo.mercadolibre.com.co/MCO-1841024007-corona-tocado-para-novia-reina-con-brillantes-verde-_JM
MCO611697399;"Media Velada Blanco Niña Pantalon Premium Toda Talla";ceremonia;4;33;8500;280500;31800;https://articulo.mercadolibre.com.co/MCO-611697399-media-velada-blanco-nina-pantalon-premium-toda-talla-_JM
MCO2256248404;"Pin Caballero En Forma De Rosa ";accesorios;4;35;2500;87500;23800;https://articulo.mercadolibre.com.co/MCO-2256248404-pin-caballero-en-forma-de-rosa-_JM
MCO1546012738;"Accesorios Para El Cabello Tocado Novia  Plateado";ceremonia;4;3;19123;57369;54900;https://articulo.mercadolibre.com.co/MCO-1546012738-accesorios-para-el-cabello-tocado-novia-plateado-_JM
MCO2143670466;"Short Legging Corto Gimnasio Yoga Hip Raise";accesorios;4;2;11746;23492;43900;https://articulo.mercadolibre.com.co/MCO-2143670466-short-legging-corto-gimnasio-yoga-hip-raise-_JM
MCO1447303191;"Set Collar Y Aretes Imitación De Diamantes Para Mujer Plateado";accesorios;4;1;16582;16582;55800;https://articulo.mercadolibre.com.co/MCO-1447303191-set-collar-y-aretes-imitacion-de-diamantes-para-mujer-plateado-_JM
MCO2067988213;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Titan Plateado 10";accesorios;4;1;0;0;198000;https://articulo.mercadolibre.com.co/MCO-2067988213-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-titan-plateado-10-_JM
MCO1103668880;"Pin Broche De Cuello Para Camisa Unisex ";accesorios;3;19;6492;123348;37900;https://articulo.mercadolibre.com.co/MCO-1103668880-pin-broche-de-cuello-para-camisa-unisex-_JM
MCO1307277899;"Tirantes Unisex Junior";accesorios;3;21;4500;94500;27800;https://articulo.mercadolibre.com.co/MCO-1307277899-tirantes-unisex-junior-_JM
MCO611712200;"Balaca Para Niña Bautizo O Primera Comunión Blanco";ceremonia;3;10;9000;90000;37900;https://articulo.mercadolibre.com.co/MCO-611712200-balaca-para-nina-bautizo-o-primera-comunion-blanco-_JM
MCO1439134215;"Colador De Té Reutilizable De Acero Inoxidable Plateado";accesorios;3;5;11866;59330;34900;https://articulo.mercadolibre.com.co/MCO-1439134215-colador-de-te-reutilizable-de-acero-inoxidable-plateado-_JM
