accion;prioridad;publicacion_id;titulo;canal;stock;visitas_30d;precio;capital;vendidas_ene_jul_2025;vendidas_ago_dic_2025;link
NADIE LA VE;4;MCO3510021052;"Collar Cadena Sistema Solar Espacio Planetas Galaxia";internacional;2;7;31900;11360;9;0;https://articulo.mercadolibre.com.co/MCO-3510021052-collar-cadena-sistema-solar-espacio-planetas-galaxia-_JM
NADIE LA VE;4;MCO1768316415;"Collar Dragon Elegante Colgante Gótico Con Piedra";internacional;2;12;28900;10200;3;0;https://articulo.mercadolibre.com.co/MCO-1768316415-collar-dragon-elegante-colgante-gotico-con-piedra-_JM
NADIE LA VE;4;MCO2849226024;"Protector De Talón Para Fascitis Plantar";sin clasificar;1;11;39900;9833;0;2;https://articulo.mercadolibre.com.co/MCO-2849226024-protector-de-talon-para-fascitis-plantar-_JM
NADIE LA VE;4;MCO585628863;"Zapato De Fiesta Niña -elegante -bautizo - Primera Comunión";sin clasificar;28;1;115900;0;1;0;https://articulo.mercadolibre.com.co/MCO-585628863-zapato-de-fiesta-nina-elegante-bautizo-primera-comunion-_JM
NADIE LA VE;4;MCO603949928;"Combo De Primera Comunión; Libro, Camandula Y Guantes";sin clasificar;7;14;40900;0;1;3;https://articulo.mercadolibre.com.co/MCO-603949928-combo-de-primera-comunion-libro-camandula-y-guantes-_JM
NADIE LA VE;4;MCO3473531238;"Collar Mujer Cadena Dije Girasol Giratorio Antiestrés Dorado";internacional;6;18;49800;0;3;0;https://articulo.mercadolibre.com.co/MCO-3473531238-collar-mujer-cadena-dije-girasol-giratorio-antiestres-dorado-_JM
NADIE LA VE;4;MCO1790121585;"Collar Cadena Girasol Mujer Dorado Giratorio Elegante Dorado";internacional;4;17;49800;0;3;0;https://articulo.mercadolibre.com.co/MCO-1790121585-collar-cadena-girasol-mujer-dorado-giratorio-elegante-dorado-_JM
NADIE LA VE;4;MCO1795728731;"Collar Dije Demonio Japones Diablo Acero Color Plata Dorado";internacional;3;0;45900;0;2;0;https://articulo.mercadolibre.com.co/MCO-1795728731-collar-dije-demonio-japones-diablo-acero-color-plata-dorado-_JM
NADIE LA VE;4;MCO2988507526;"Juego Plateado Collar Y Aretes Anillo Quinceaños Novia Plateado";internacional;7;11;65000;0;9;7;https://articulo.mercadolibre.com.co/MCO-2988507526-juego-plateado-collar-y-aretes-anillo-quinceanos-novia-plateado-_JM
ESPERAR SU TEMPORADA;5;MCO1202864271;"Corbata Larga Satinada Slim Juvenil Elegante";nacional;57;19;28900;427500;67;146;https://articulo.mercadolibre.com.co/MCO-1202864271-corbata-larga-satinada-slim-juvenil-elegante-_JM
ESPERAR SU TEMPORADA;5;MCO2589196906;"Zapato Zapatilla Elegante Ocación Especial Comunión Niña";sin clasificar;8;7;120000;272000;0;5;https://articulo.mercadolibre.com.co/MCO-2589196906-zapato-zapatilla-elegante-ocacion-especial-comunion-nina-_JM
ESPERAR SU TEMPORADA;5;MCO636762652;"Kit Primera Comunión Niña Cirio Guantes Libro Camándula";nacional;7;10;84900;136500;0;5;https://articulo.mercadolibre.com.co/MCO-636762652-kit-primera-comunion-nina-cirio-guantes-libro-camandula-_JM
ESPERAR SU TEMPORADA;5;MCO902492984;"Guantes Niña Primera Comunión Ajustables";sin clasificar;17;8;31900;119272;8;19;https://articulo.mercadolibre.com.co/MCO-902492984-guantes-nina-primera-comunion-ajustables-_JM
ESPERAR SU TEMPORADA;5;MCO1279408657;"Pin Alta Gama Pisa Cuello Para Hombre, Cuello Camisa";sin clasificar;14;7;35900;103376;4;8;https://articulo.mercadolibre.com.co/MCO-1279408657-pin-alta-gama-pisa-cuello-para-hombre-cuello-camisa-_JM
ESPERAR SU TEMPORADA;5;MCO611704626;"Guante Mitón Primera Comunión Niña";sin clasificar;15;21;22900;52500;3;10;https://articulo.mercadolibre.com.co/MCO-611704626-guante-miton-primera-comunion-nina-_JM
ESPERAR SU TEMPORADA;5;MCO2952431604;"Tirantes Cargaderas + Corbatín Hombre Fiesta Boda Ajustables";nacional;2;37;59900;31000;7;27;https://articulo.mercadolibre.com.co/MCO-2952431604-tirantes-cargaderas-corbatin-hombre-fiesta-boda-ajustables-_JM
ESPERAR SU TEMPORADA;5;MCO2845779596;"Set De Collar Aretes Elegantes Dama Fiesta Cadena";internacional;2;18;55900;24000;5;16;https://articulo.mercadolibre.com.co/MCO-2845779596-set-de-collar-aretes-elegantes-dama-fiesta-cadena-_JM
ESPERAR SU TEMPORADA;5;MCO611883224;"Cintas Para Primera Comunión Blanco Inscripción Dorada / Motivo Eucarístico";sin clasificar;6;2;29900;24000;2;7;https://articulo.mercadolibre.com.co/MCO-611883224-cintas-para-primera-comunion-blanco-inscripcion-dorada-motivo-eucaristico-_JM
