accion;prioridad;publicacion_id;titulo;canal;stock;visitas_30d;precio;capital;vendidas_ene_jul_2025;vendidas_ago_dic_2025;link
MUERTA: LIQUIDAR;3;MCO4223139052;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Tiara 15 7";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139052-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-tiara-15-7-_JM
MUERTA: LIQUIDAR;3;MCO4223139044;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Ensueño 15 6";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139044-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-ensueno-15-6-_JM
MUERTA: LIQUIDAR;3;MCO4223139048;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Tiara 15 6";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139048-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-tiara-15-6-_JM
MUERTA: LIQUIDAR;3;MCO2064456079;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Vals 15 6.5";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456079-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-vals-15-65-_JM
MUERTA: LIQUIDAR;3;MCO2064456077;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Encanto 15 6";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456077-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-encanto-15-6-_JM
MUERTA: LIQUIDAR;3;MCO2064456083;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Carruaje 15 Lila 6.5";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456083-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-carruaje-15-lila-65-_JM
MUERTA: LIQUIDAR;3;MCO2064456075;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Palacio 7.5";internacional;1;2;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456075-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-palacio-75-_JM
MUERTA: LIQUIDAR;3;MCO2064456081;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Palacio 8.5";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456081-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-palacio-85-_JM
MUERTA: LIQUIDAR;3;MCO2064456073;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Alteza 15 8";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456073-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-alteza-15-8-_JM
MUERTA: LIQUIDAR;3;MCO4223139040;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Corona 5.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139040-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-corona-55-_JM
MUERTA: LIQUIDAR;3;MCO4230741520;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Unión Lila 8";internacional;1;2;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741520-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-union-lila-8-_JM
